Title,DOI,Published Date,Version
Volume 11 - The Structure That Locks - The Spectroscopic Test and the Multi-Attribute Convergence,10.5281/zenodo.20587181,2026-06-08,1.0
Noise Does Not Lock - A Comprehensive Empirical Response to Skeptical Challenges to KishLattice Geometric Harmonic Spectroscopy,10.5281/zenodo.20585517,2026-06-08,1.0
KishLattice Geometric Harmonic Spectroscopy: Volume 11 Pre-Registration (Multi-Attribute Sovereign Lake Expansion & Dimensionality Falsification Protocol),10.5281/zenodo.20480507,2026-06-01,1.0
The KishLattice Star - The Crystalline Terminus of Spacetime Collapse - A Prediction Paper,10.5281/zenodo.20370709,2026-05-25,1.0
Volume 10 - The Deep Survey - Seven New Domains and the Geometry of Life,10.5281/zenodo.20279209,2026-05-19,1.0
Master Equation of the Kish Lattice Theory - The Rosetta Atlas,10.5281/zenodo.19939949,2026-05-01,6.0
Volume 9 - KishLattice Geometric Harmonic Spectroscopy: The First Survey of a New Field,10.5281/zenodo.19935604,2026-05-01,1.0
Volume 9 - Predictions Pre-Registration,10.5281/zenodo.19702023,2026-04-22,1.0
Volume 8 - Unbounded Luminosity: The Same-Object Harmonic Map and the Sovereign Lake Architecture,10.5281/zenodo.19622633,2026-04-17,1.0
"Volume 7 - The Sovereign Resonance: Boundaries, Sub-Lattice, and the Unification Case",10.5281/zenodo.19559861,2026-04-13,1.0
Volume 6 - The Harmonic Expansion of the Unified Lattice,10.5281/zenodo.19493377,2026-04-10,1.0
Volume 5 - The Geometric Architecture of Unification,10.5281/zenodo.19446246,2026-04-06,4.0
Volume 5 - The Geometric Architecture of Unification,10.5281/zenodo.19124374,2026-03-20,3.0
Volume 5 - The Geometric Architecture of Unification,10.5281/zenodo.19044745,2026-03-16,2.0
Volume 3 - The Geometric Architecture of Matter,10.5281/zenodo.19013007,2026-03-13,7.0
Volume 4 - The Geometric Architecture of Life,10.5281/zenodo.19011266,2026-03-13,2.0
Volume 5 - The Geometric Architecture of Unification,10.5281/zenodo.19009635,2026-03-13,1.0
Volume 4 - The Geometric Architecture of Life,10.5281/zenodo.18976976,2026-03-12,1.0
THE KISH MASTER EQUATION ROSETTA ATLAS,10.5281/zenodo.18917138,2026-03-08,2.0
Master Equation of the Kish Lattice Theory - The Rosetta Atlas,10.5281/zenodo.18916361,2026-03-08,5.0
Volume 2 - The Geometric Neutron - The New Universe of Eloquent Resonance,10.5281/zenodo.18911526,2026-03-08,12.0
Volume 3 - The Geometric Architecture of Matter,10.5281/zenodo.18899816,2026-03-07,6.0
Volume 3 - The Geometric Architecture of Matter,10.5281/zenodo.18864482,2026-03-04,5.0
Volume 1 - Holographic Resonance: The Geometry of a Quantized Universe: The Geometric Derivation of the Lattice,10.5281/zenodo.18827319,2026-03-01,9.0
Recovery of the Fusion Breath Gating Interval from FRB20221109E,10.5281/zenodo.18826484,2026-03-01,1.0
Volume 2 - The Geometric Neutron - The New Universe of Eloquent Resonance,10.5281/zenodo.18826445,2026-03-01,11.0
Volume 2 - The Geometric Neutron - The New Universe of Eloquent Resonance,10.5281/zenodo.18752128,2026-02-23,10.0
Volume 2 - The Geometric Neutron - The New Universe of Eloquent Resonance,10.5281/zenodo.18665937,2026-02-16,9.0
Volume 2 - The Geometric Neutron - The New Universe of Eloquent Resonance,10.5281/zenodo.18628707,2026-02-13,8.0
Volume 1 - Holographic Resonance: The Geometry of a Quantized Universe: The Geometric Derivation of the Lattice,10.5281/zenodo.18605004,2026-02-11,8.0
Holographic Resonance: The Geometry of a Quantized Universe Volume 1: The Geometric Derivation of the Lattice,10.5281/zenodo.18580427,2026-02-09,7.0
The Geometric Nucleus: Vacuum Pressure Confinement and the End of Gluons,10.5281/zenodo.18575269,2026-02-09,2.0
The Pi Necessity: Irrationality as the Anti-Resonance Lubricant of the Vacuum,10.5281/zenodo.18574732,2026-02-09,2.0
Lattice Determinism: The Hydrodynamic Resolution of Quantum Paradoxes,10.5281/zenodo.18574273,2026-02-09,2.0
Holographic Resonance: The Geometry of a Quantized Universe Volume 1: The Geometric Derivation of the Lattice,10.5281/zenodo.18528759,2026-02-08,6.0
The Geometric Neutron: Beta Decay as Lattice Delamination & The End of the Higgs Boson,10.5281/zenodo.18522109,2026-02-08,1.0
Kish Resonance Drive (KRD): Model LTP1 Technical Operations & Assembly Manual,10.5281/zenodo.18521722,2026-02-08,1.0
Project PRIME CHIRP: Proposal for the Utilization of Interferometric Gravitational Wave Detectors as Stratum-0 Geometric Time Receivers,10.5281/zenodo.18520883,2026-02-07,1.0
The Golden Damper: Fibonacci Sequences as Vacuum Load Balancing,10.5281/zenodo.18520432,2026-02-07,1.0
Lattice Determinism: The Hydrodynamic Resolution of Quantum Paradoxes,10.5281/zenodo.18490223,2026-02-05,1.0
The Geometric Nucleus: Vacuum Pressure Confinement and the End of Gluons,10.5281/zenodo.18490012,2026-02-05,1.0
The Orthogonal Torque: Redefining Magnetism as Lattice Torsion,10.5281/zenodo.18489803,2026-02-05,1.0
The Geometric Bond: Resolving the H2O Anomaly via Vacuum Pressure,10.5281/zenodo.18477186,2026-02-04,1.0
The Viscous Vacuum: Deep Space Telemetry and the 16/pi Drag Coefficient,10.5281/zenodo.18476945,2026-02-04,1.0
The Vacuum Seismograph: Resolving the 16/pi Lattice Resonance in LIGO Interferometric Noise,10.5281/zenodo.18476793,2026-02-04,1.0
Project Anchor Illinois: A Technical Blueprint for Resonant Energy Extraction and Atmospheric Stabilization,10.5281/zenodo.18452418,2026-02-02,1.0
"The Resonant Table of Facets: Mechanical Attributes, Hooks, and Lattice Friction",10.5281/zenodo.18452170,2026-02-01,1.0
The Pi Necessity: Irrationality as the Anti-Resonance Lubricant of the Vacuum,10.5281/zenodo.18451693,2026-02-01,1.0
The Chromatic Gearbox: Optical Resonance and Thermal Friction in the Kish Lattice,10.5281/zenodo.18451381,2026-02-01,1.0
The Geometric Architecture of Matter: The Unified Theory of the Kish Lattice,10.5281/zenodo.18450630,2026-02-01,4.0
Caterpillar Sea Drive (MHD 2.0),10.5281/zenodo.18425129,2026-01-29,1.0
C60 Resonant Energy & Atmospheric Sieve: Technical Manual and User Operations Guide,10.5281/zenodo.18424591,2026-01-29,1.0
Mission Blue Top 3 Oceanic Problems,10.5281/zenodo.18417733,2026-01-22,1.0
Kish Resonance Drive: Operations Manual and Lab Guide,10.5281/zenodo.18408860,2026-01-29,1.0
The Pioneer - Muon Resolution and Kish Resonance Drive,10.5281/zenodo.18408730,2026-01-28,2.0
The Pioneer - Muon Resolution and Kish Resonance Drive,10.5281/zenodo.18408651,2026-01-29,1.0
The Geometric Architecture of Matter: The Unified Theory of the Kish Lattice,10.5281/zenodo.18391555,2026-01-27,3.0
The Geometric Architecture of Matter: The Unified Theory of the Kish Lattice,10.5281/zenodo.18390719,2026-01-27,2.0
The Geometric Architecture of Matter: The Unified Theory of the Kish Lattice,10.5281/zenodo.18383487,2026-01-27,1.0
What is Kish-Lattice Theory - 6th Grade Edition - A Field Guide to the Universe,10.5281/zenodo.18370895,2026-01-25,1.0.0
2D Time and Riemann Zeta Function of Primes - The Interference Pattern of Reality,10.5281/zenodo.18369889,2026-01-25,1.0.0
Master Equation of the Kish Lattice Theory - The Rosetta Stone,10.5281/zenodo.18369657,2026-01-25,4.0
Master Equation of the Kish Lattice Theory - The Rosetta Stone,10.5281/zenodo.18364306,2026-01-24,3.0
The Ghost Wall Experiment – The Beauty of Resonant Nodes,10.5281/zenodo.18363700,2026-01-24,1.0.0
Double Slit Experiment - The 16pi Resolution -The Boat and the Wake,10.5281/zenodo.18357322,2026-01-24,1.0.0
Master Equation of the Kish Lattice Theory - The Rosetta Stone,10.5281/zenodo.18308162,2026-01-19,2.0
Volume 3 - The Geometric Architecture of Matter,10.5281/zenodo.18307062,2026-01-19,4.0
Holographic Resonance: The Geometry of a Quantized Universe,10.5281/zenodo.18307051,2026-01-19,5.0
Volume 2 - The New Universe of Eloquent Resonance,10.5281/zenodo.18306972,2026-01-19,7.0
Volume 2 - The New Universe of Eloquent Resonance,10.5281/zenodo.18299035,2026-01-19,6.0
Volume 3 - The Geometric Architecture of Matter,10.5281/zenodo.18294659,2026-01-18,3.0
Holographic Resonance: The Geometry of a Quantized Universe,10.5281/zenodo.18294079,2026-01-18,4.0
Volume 2 - The New Universe of Eloquent Resonance,10.5281/zenodo.18284427,2026-01-17,5.0
Volume 2 - The New Universe of Eloquent Resonance,10.5281/zenodo.18284336,2026-01-17,4.0
Volume 2 - The New Universe of Eloquent Resonance,10.5281/zenodo.18284259,2026-01-17,3.0
Volume 3 - The Geometric Architecture of Matter,10.5281/zenodo.18281888,2026-01-17,2.0
Volume 2 - The New Universe of Eloquent Resonance,10.5281/zenodo.18278884,2026-01-17,2.0
Holographic Resonance: The Geometry of a Quantized Universe,10.5281/zenodo.18253863,2026-01-15,3.0
Holographic Resonance: The Geometry of a Quantized Universe,10.5281/zenodo.18252745,2026-01-15,2.0
The Kish Resonant Gyroscope (KRG),10.5281/zenodo.18245148,2026-01-14,1.0.0
THE KISH MASTER EQUATION IN TEXT NO LATEX,10.5281/zenodo.18236729,2026-01-13,1.0.0
Master Equation of the Kish Lattice Theory - The Rosetta Stone,10.5281/zenodo.18235736,2026-01-13,1.0.0
The Way Out of Immediate Crisis is The Sheet Music,10.5281/zenodo.18234480,2026-01-13,1.0.0
Volume 3 - The Geometric Architecture of Matter,10.5281/zenodo.18217227,2026-01-11,1.0.0
Volume 2 - The New Universe of Eloquent Resonance,10.5281/zenodo.18217120,2026-01-11,1.0.0
Holographic Resonance: The Geometry of a Quantized Universe,10.5281/zenodo.18209531,2026-01-10,1.0.0
